a	/ei/	art.一(个);每一(个);(同类事物中)任一个
ache	/eik/	vi.痛;哀怜n.(指连续)疼痛、酸痛
achieve	/ə'tʃi:v/	vt.实现,完成;达到,得到vi.达到预期目的
acid	/'æsid/	n.酸,酸性物质a.酸的,酸味的;尖刻的
acknowledge	/ək'nɔlidʒ/	vt.承认;接受;告知(信件等的)收到;答谢
acquaint	/ə'kweint/	vt.(with)使认识,使了解,使熟悉
acquaintance	/ə'kweintəns/	n.认识,相识,了解;相识的人,熟人
acquire	/ə'kwaiə/	v.获得;学到(知识等);养成(习惯)
acquisition	/,ækwi'ziʃən/	n.取得,学到,养成(习惯);获得的东西
acre	/'eikə/	n.英亩;田地;地产
acrobat	/'ækrəbæt/	n.特技演员,杂技演员
across	/ə'krɔs,ə'krɔ:s/	prep.横过,越过;在的对面ad.横过,穿过
act	/ækt/	v.表演;举动;起作用n.行为,法令;一幕
action	/'ækʃən/	n.行动,动作;作用;运转;行为;战斗
activate	/'æktiveit/	vt.启动,激活;驱动,驱使;使开始起作用
active	/'æktiv/	adj.活跃的,敏捷的,积极的;在活动中的
activity	/æk'tivəti/	n.活动;活力;能动性;
actor	/'æktə/	n.男演员;演员,行动者
actress	/'æktris/	n.女演员
actual	/'æktʃuəl/	a.实际的;现实的,真实的,目前的
acute	/ə'kju:t/	a.剧烈的;敏锐的;成锐角的;尖的,高音的
adapt	/ə'dæpt/	vt.使适应,使适合;改编;改写vi.适应
add	/æd/	vt.加;增加(进);进一步说/写vi.(to)增添
addict	/ə'dikt/	v.使沉溺;使上瘾n.沉溺于不良嗜好的人
addition	/ə'diʃən/	n.加,加法;附加部分,增加(物)
additional	/ə'diʃənəl/	a.额外的,附加的,另外的
address	/ə'dres/	n.住址;致词v.向...致词;在信封上写姓名
adequate	/'ædikwit/	adj.充足的,足够的;适当的,胜任的
adhere	/əd'hiə/	vi.(to)粘着;坚持,遵守;依附,追随
adjacent	/ə'dʒeisənt/	a.(to)(时间上)紧接着的;邻近的,毗邻的
adjective	/'ædʒiktiv/	n.形容词a.形容词的,用作形容词的
adjoin	/ə'dʒɔin/	v.临近,靠近;贴近,毗连
adjust	/ə'dʒʌst/	vt.调节;整顿,调整vi.适应(to);使调节
administer	/əd'ministə/	v.施行,实施;掌管,料理...的事务;给予
administration	/əd,mini'streiʃən/	n.经营,管理;行政,行政机关,管理部门
admire	/əd'maiə/	vt.钦佩,赞赏,羡慕;称赞,夸奖
admission	/əd'miʃən/	n.允许进入;承认;入场费,入会费,入场券
admit	/əd'mit/	vt.承认,供认;准许…进入,准许...加入
adolescent	/,ædəu'lesənt/	n.青少年a.青春期的,青少年的
adopt	/ə'dɔpt/	vt.采用,采取(态度等);选定;收养
adore	/ə'dɔ:/	vt.崇拜,敬慕,爱慕;非常喜欢
adult	/'ædʌlt,ə'dʌlt/	n.成年人a.成年的,充分长成的,成熟的
advance	/əd'vɑ:ns,əd'væns/	n.前进,预付vi.前进,进展vt.促进,推进
advanced	/əd'vɑ:nst,-'vænst/	a.超前的,先进的;高级的;开明的;前进的
advantage	/əd'vɑ:ntidʒ/	n.优点,长处,有利条件;利益,好处
advent	/'ædvənt/	n.(重要事件等的)到来,来临
adventure	/əd'ventʃə,æd-/	n.冒险,冒险活动,奇遇vt.大胆进行
adverb	/'ædvə:b/	n.副词a.副词的
adverse	/'ædvə:s,æd'və:s/	a.逆的,相反的;敌对的;不利的;有害的
advertise	/'ædvətaiz/	vt.公告,公布;为...做广告vi.登广告
advice	/əd'vais/	n.劝告,忠告,(医生等的)意见
advisable	/əd'vaizəbl/	a.可取的,适当的,明智的
advise	/əd'vaiz/	vt.忠告,劝告,建议;通知,告知
advocate	/'ædvəkeit,'ædvəkət/	n.辩护者,拥护者,鼓吹者vt.拥护,提倡
aerial	/'εəriəl/	a.(在或来自)空中的,航空的n.天线
aeroplane	/'εərəplein/	n.(airplane)(英)飞机
aesthetic	/i:s'θetik/	a.(esthetic)美学的,艺术的;审美的
affair	/ə'fεə/	n./pl./事务;事情(件);(个人的)事
affect	/ə'fekt,'æfekt/	vt.影响;(疾病)侵袭;感动n.情感,感情
affection	/ə'fekʃən/	n.爱,喜爱;爱慕之情;感情;疾病,不适
affiliate	/ə'filieit/	v.使隶属(或附属)于n.附属机构,分公司
affirm	/ə'fə:m/	vt.断言,坚持声称;肯定;证实,确认;
affluent	/'æfluənt/	a.富裕的,富有的,丰富的,富饶的
afford	/ə'fɔ:d/	vt.担负得起(损失、费用、后果等),买得起
afraid	/ə'freid/	adj.害怕的,恐惧的;犯愁的,不乐意的
after	/'ɑ:ftə,'æf-/	prep.在...以后;在...后面adv.以后,后来
afternoon	/,ɑ:ftə:'nu:n/	n.下午,午后
afterward	/'ɑ:ftəwəd,'æf-/	ad.(afterwards)以后,后来
again	/ə'ɡen,-'ɡein/	ad.再次,另一次;重新;除此,再,更,还
against	/ə'ɡenst,ə'ɡeinst/	prep.对着,逆;反对;违反;紧靠着;对比
age	/eidʒ/	n.年龄;时代;老年;长时间v.(使)变老
agency	/'eidʒənsi/	n.代理(处);代办处;/美/(政府的)机关,厅
agenda	/ə'dʒendə/	n.议事日程,记事册
agent	/'eidʒənt/	n.代理人;代理商;产生作用的人或事物
aggravate	/'æɡrəveit/	vt.加重(剧),使恶化;激怒,使恼火
aggressive	/ə'ɡresiv/	a.侵略的,好斗的,有进取心的,敢作敢为的
agitate	/'ædʒiteit/	v.摇动(液体);使焦虑不安;困扰;鼓动
ago	/ə'ɡəu/	ad.(常和一般过去时的动词连用)以前,…前
agony	/'æɡəni/	n.(精神或肉体的)极大痛苦,创伤
agree	/ə'ɡri:/	vi.答应,赞同;适合,一致;商定,约定
agreeable	/ə'ɡri:əbl/	a.符合的;一致的;欣然同意的;令人愉快的
agreement	/ə'ɡri:mənt/	n.协定;协议;契约;达成协议;同意,一致
agriculture	/'æɡrikʌltʃə/	n.农业,农艺,农耕
ahead	/ə'hed/	ad.在前面(头);向(朝)前;提前
aid	/eid/	n.援助,救护;助手,辅助物vi.援助,救援
aim	/eim/	n.目的;瞄准vi.(at)目的在于vt.把…瞄准
air	/εə/	n.空气;(复数)神气vt.(使)通风;晾干
air-conditioning	/ˈeə kəndɪʃnɪŋ/	n.空调设备,空调系统
aircraft	/'εəkrɑ:ft/	n.飞机,飞船,飞行器
airline	/'εəlain/	n.(飞机)航线a.(飞机)航线的
airport	/'εəpɔ:t/	n.机场,航空站,航空港
aisle	/ail/	n.(教堂、教室、戏院等里的)过道,通道
alarm	/ə'lɑ:m/	n.惊恐;警报(器)vt.惊动,惊吓;向…报警
album	/'ælbəm/	n.(同一表演者的)集锦密纹唱片;集邮册,相册
alcohol	/'ælkəhɔl/	n.酒精,乙醇;含酒精的饮料
alert	/ə'lə:t/	a.机警的,警觉的;机灵的vt.使…警觉
alien	/'eiljən/	n.外侨,外国人;外星人a.外国的;相异的
alike	/ə'laik/	a.同样的,相像的ad.一样地;同程度地　
alive	/ə'laiv/	a.活着的;存在的;活跃的;(to)敏感的
all	/ɔ:l/	a.全部的;非常的ad.完全地,很pron.全部
allege	/ə'ledʒ/	v.断言,宣称;指控
alleviate	/ə'li:vieit/	v.减轻,缓和,缓解(痛苦等)
alliance	/ə'laiəns/	n.同盟,同盟国;结盟,联姻
allocate	/'æləukeit/	v.分配,分派;拨给;划归
allow	/ə'lau/	vt.允许,准许;承认;给予;(for)考虑到
allowance	/ə'lauəns/	n.补贴,津贴;零用钱;减价,折扣;允许
alloy	/'ælɔi,ə'lɔi/	n.合金vt.将…铸成合金
ally	/'ælai,ə'lai/	n.同盟者,同盟国,vt.使结盟;与…有关联
almost	/'ɔ:lməust/	adv.几乎,差不多
alone	/ə'ləun/	a.单独的,孤独的ad.单独地,独自地;仅仅
along	/ə'lɔŋ/	ad.向前;和...一起,一同prep.沿着,顺着
alongside	/ə'lɔŋ'said/	ad.在旁边prep.和...在一起;在...旁边
aloud	/ə'laud/	adv.出声地,大声地
alphabet	/'ælfəbit/	n.字母表;初步,入门
already	/ɔ:l'redi/	ad.已,已经,早已
also	/'ɔ:lsəu/	ad.而且(也),此外(还);同样地
alter	/'ɔ:ltə/	vt.改变,更改;改做(衣服)vi.改变,变化
alternate	/'ɔ:ltəneit/	a.交替的,轮流的v.(使)交替,(使)轮流
alternative	/ɔ:l'tə:nətiv/	n.二选一;供选择的东西;取舍a.二选一的
although	/ɔ:l'ðəu/	conj.尽管,虽然...但是
altitude	/'æltitju:d/	n.高度,海拔;/pl./高处,高地
altogether	/,ɔ:ltə'ɡeðə/	ad.完全,总之,全部地;总共;总而言之
aluminum	/ə'lju:minəm/	n.(aluminium)铝
always	/'ɔ:lweiz,-wiz/	ad.总是,无例外地;永远,始终
amateur	/'æmətə,,æmə'tə:/	a.&n.业余(水平)的(运动员、艺术家等)
amaze	/ə'meiz/	vt.使惊奇,使惊愕;使困惑vi.表现出惊奇
ambassador	/æm'bæsədə/	n.大使;特使,(派驻国际组织的)代表
ambiguous	/æm'biɡjuəs/	a.引起歧义的,模棱两可的,含糊不清的
ambition	/æm'biʃən/	n.对(成功、权力等)的强烈欲望,野心;雄心
ambitious	/æm'biʃəs/	a.有抱负的,雄心勃勃的;有野心的
ambulance	/'æmbjuləns/	n.救护车,救护船,救护飞机
amend	/ə'mend/	vt.修改,修订,改进
amiable	/'eimjəbl/	a.和蔼可亲的,友善的,亲切的
amid	/ə'mid/	prep.在…中间,在…之中,被…围绕
among	/ə'mʌŋ/	prep.在…之中;在一群(组)之中;于…之间
amount	/ə'maunt/	n.总数,数量;数额v.共计;等同,接近(to)
ample	/'æmpl/	a.充分的,富裕的;宽敞的,宽大的
amplifier	/'æmplifaiə/	n.放大器,扩大器
amplify	/'æmplifai/	vt.放大,增强;详述,详加解说
amuse	/ə'mju:z/	vt.向…提供娱乐,使…消遣;引人发笑
analogue	/'ænəlɔɡ/	n.类似物;相似体;模拟
analogy	/ə'nælədʒi/	n.类似,相似,类比,类推
analyse	/'ænəlaiz/	vt.（analyze）分析,分解
analysis	/ə'næləsis/	n.(pl.analyses)分析;分解
analytic	/,ænə'litik,-kəl/	a.(analytical)分析的;分解的
ancestor	/'ænsestə/	n.祖宗,祖先;原型,先驱
anchor	/'æŋkə/	n./v.锚;危难时可依靠的人或物;用锚泊船
ancient	/'einʃənt/	a.古代的,古老的,古式的
and	/强ænd,弱ənd,ən/	conj.和,与,而且;那么;接连,又
anecdote	/'ænikdəut/	n.轶事,趣闻,短故事
angel	/'eindʒəl/	n.天使,安琪儿
anger	/'æŋɡə/	n.愤怒,气愤vt.使发怒,激怒vi.发怒
angle	/'æŋɡl/	n.角,角度v.钓鱼;(采用各种方法）取得
angry	/'æŋɡri/	a.生气的,愤怒的;(天气)风雨交加的
anguish	/'æŋɡwiʃ/	n.(尤指心灵上的)极度痛苦,烦恼
animal	/'æniməl/	n.动物,野兽,牲畜a.动物的,野兽的
ankle	/'æŋkl/	n.足踝,踝关节
anniversary	/,æni'və:səri/	n.周年,周年纪念日
announce	/ə'nauns/	v.正式宣布;发表;通告;广播（电台节目）
annoy	/ə'nɔi/	vt.使恼怒,使生气;打扰vi.招人讨厌
annual	/'ænjuəl/	a.每年的,一年生的n.年刊;一年生植物
anonymous	/ə'nɔniməs/	a.匿名的,无名的,姓氏不明的
another	/ə'nʌðə/	a.另一个,又,再pron.另一个,类似的一个
answer	/'ɑ:nsə,'æn-/	vt.回答,答复,答案v.回答,答复,响应
ant	/ænt/	n.蚁;蚂蚁
antenna	/æn'tenə/	n.(无线电或电视的)天线
anticipate	/æn'tisipeit/	vt.预料;期望;预先考虑;抢先;提前使用
antique	/æn'ti:k/	a.古式的,过时的　n.有价值的古物,古董
anxiety	/æŋ'zaiəti/	n.挂念,焦虑,焦急,忧虑;渴望,热望
anxious	/'ænkʃəs/	a.焦虑的,担心的;急于(得到的),渴望的
any	/'eni/	a.(用于否定句、疑问句等)什么,一些;任何的
anybody	/'eni,bɔdi/	pron.(否定句)任何人;(肯定句)随便哪个人
anyhow	/'enihau/	ad.不管怎么说,无论如何;不论用何种方法
anyone	/'eniwʌn/	pron.(用于疑问句,否定式)任何人
anything	/'eniθiŋ/	pron.任何东西(事物);无论什么东西(事物)
anyway	/'eniwei/	ad.不管怎么说,无论如何;不论以何种方式
anywhere	/'enihwεə/	ad.无论哪里;(用于否定、疑问等)任何地方
apart	/ə'pɑ:t/	ad.分离,离开,隔开a.分离的,分隔的
apartment	/ə'pɑ:tmənt/	n./英/房间,套间;/美/公寓
apologise	/ə'pɔlədʒaiz/	v.(to,for)道歉,认错
apology	/ə'pɔlədʒi/	n.道歉,认错,辩解,辩护
appal	/ə'pɔ:l/	v.使惊骇,使恐怖
apparatus	/,æpə'reitəs/	n.器械,器具,仪器;机构,组织
apparent	/ə'pærənt/	a.表面上的,貌似真实的;显然的,明明白白的
appeal	/ə'pi:l/	vi.呼吁,恳求;申诉n.呼吁;申诉;吸引力
appear	/ə'piə/	vi.出现;出场;问世;仿佛;出版,发表
appearance	/ə'piərəns/	n.出现,露面;外表;(在会议等)作短暂露面
appendix	/ə'pendiks/	n.附录,附属物;阑尾,盲肠
appetite	/'æpitait/	n.食欲,胃口;欲望,性欲;爱好,趣味
applaud	/ə'plɔ:d/	vt.鼓掌欢迎;赞同vi.鼓掌欢迎,欢呼
applause	/ə'plɔ:z/	n.鼓掌;喝彩;夸奖,赞扬
apple	/'æpl/	n.苹果,苹果树
appliance	/ə'plaiəns/	n.电器;器械,装置;应用,适用
applicable	/'æplikəbl,ə'plikə-/	a.可应用(实施)的;适当的,合适的
application	/,æpli'keiʃən/	n.申请,请求,申请书;应用,实施,实用性
apply	/ə'plai/	vi.(以书面形式)申请;请求vt.应用;实施
appoint	/ə'pɔint/	vt.任命,委派;指定,约定(时间、地点等)
appointment	/ə'pɔintmənt/	n.约会,约定;任命,委派;委任的职位
appraisal	/ə'preizəl/	n.对...作出的评价;评价,鉴定,评估
appreciate	/ə'pri:ʃieit/	vt.为...表示感激,感谢;欣赏,赏识,评价
approach	/ə'prəutʃ/	v.靠近,接近n.接近;途径,入门;方式,方法
appropriate	/ə'prəuprieit/	a.适当的,恰当的,特有的vt.拨给,挪用,盗用
approval	/ə'pru:vəl/	n.批准,通过;赞成,同意
approve	/ə'pru:v/	v.(of)赞成,赞许,同意;批准,审议,通过
approximate	/əˈprɒksɪmət , əˈprɒksɪmeɪt/	a.近似的vi.(to)接近
April	/ˈeɪprəl/	(名)四月
apt	/æpt/	a.恰当的,适当的;易于…的,有…倾向的
arbitrary	/'ɑ:bitrəri/	a.任意的,任性的,主观的;专断的,武断的
arch	/ɑ:tʃ/	n.拱门,桥拱洞v.拱起,(使)变成弓形
architect	/'ɑ:kitekt/	n.建筑师;设计师;缔造者;创造者
architecture	/'ɑ:kitektʃə/	n.建筑,建筑学;建筑式样或风格,建筑物
area	/'εəriə/	n.面积;地区,地域;领域,范围
argue	/'ɑɡju:/	vi.辩论,争论vt.辩论,论证;说服,劝说
argument	/'ɑ:ɡjumənt/	n.争论(吵),辩论;理由;论证
arise	/ə'raiz/	v.出现,发生;(from)由…引起,由…产生
arithmetic	/ə'riθmətik/	n.算术,四则运算
arm	/ɑ:m/	n.手臂,扶手,臂状物v.武装;配备n.武器
army	/'ɑ:mi/	n.军队,陆军,军;大群,大批
around	/ə'raund/	ad.在...周围,到处prep.在..四周(或附近)
arouse	/ə'rəuz/	vt.唤醒,叫醒;唤起,激起
arrange	/ə'reindʒ/	v.安排,筹划;整理,使有条理,排列,布置
array	/ə'rei/	n.大量;排列;盛装v.列阵;装扮;排列
arrest	/ə'rest/	n.逮捕,扣留vt.逮捕,扣留;阻止;吸引
arrival	/ə'raivəl/	n.到达,到来;到达者,到达物
arrive	/ə'raiv/	vi.到达;(时间、事件)到来,发生;达到
arrogant	/'ærəɡənt/	a.傲慢的,自大的
arrow	/'ærəu/	n.箭,矢,箭状物;箭头符号
art	/ɑ:t/	n.艺术,美术;技术,技艺;文科,人文科学
artery	/'ɑ:təri/	n.动脉;干线,要道
article	/'ɑ:tikəl/	n.文章,论文;条款,条文;物件;冠词
articulate	/ɑ:'tikjulət/	a.善于表达的;有关节相连的v.清楚地讲话
artificial	/,ɑ:ti'fiʃəl/	a.人工的,人造的,人为的;虚伪的,做作的
artist	/'ɑ:tist/	n.艺术家,美术家;(某方面的)能手
artistic	/ɑ:'tistik/	a.艺术(家)的,美术(家)的;善于艺术创作的
as	/æz , əz/	ad.同样地conj.由于;像...一样prep.作为
ascend	/ə'send/	vi.渐渐上升,升高vt.攀登,登上
ascertain	/ə'send/	vt.确定,查明,弄清
ash	/æʃ/	n.灰,灰末;(pl.)骨灰;(pl.)废墟
ashamed	/ə'ʃeimd/	a.惭愧的,羞耻的,害臊的
ashore	/ə'ʃɔ:/	ad.上岸;在岸上,向岸上
aside	/ə'said/	ad.在旁边,到一边n.旁白;离题的话
ask	/ɑ:sk,æsk/	vt.问,询问;请求,要求;邀请,约请
asleep	/ə'sli:p/	a.睡觉,睡着(用作表语)
aspect	/'æspekt/	n.样子,外表,面貌,(问题等的)方面
aspire	/ə'spaiə/	vi.(to,after)渴望,追求,有志于
assassinate	/ə'sæsineit/	vt.暗杀,行刺;中伤
assault	/ə'sɔ:lt/	v.猛烈地攻击,袭击n.突然而猛烈的攻击
assemble	/ə'sembl/	vt.集合,召集;装配;收集vi.集合,聚集
assembly	/ə'sembli/	n.集合;会议;装配;(美)洲议会的众议院
assert	/ə'sə:t/	vt.断言,宣称;坚持;主张（权利、权威等）
assess	/ə'ses/	vt.(为征税)评估(财产、收入);征税;评价
asset	/'æset/	n.(pl.)资产,财产;有价值的物品;天赋
assign	/ə'sain/	vt.派给,分配;选定,指定(时间、地点等)
assignment	/ə'sainmənt/	n.分配,指派;(指定的)作业,(分派的)任务
assimilate	/ə'simileit/	vt.吸收,消化;使同化vi.被吸收;被同化
assist	/ə'sist/	vt.协助,帮助,促进vi.帮忙,参加
assistance	/ə'sistəns/	n.协作;援助;帮助
assistant	/ə'sistənt/	a.帮助的,辅助的n.助手,助教;辅助物
associate	/ə'səuʃieit/	vt.联想;交往;联合;n.伙伴;a.联合的
association	/ə,səusi'eiʃən/	n.联盟,协会,社团;交往,联合;联想
assume	/ə'sju:m,ə'su:m/	vt.假装;假定,设想;承担;呈现,采取
assumption	/ə'sʌmpʃən/	n.假定,设想;采取;承担;推测;假装
assurance	/ə'ʃuərəns/	n.保证,担保;确信,断言;信心,信念
assure	/ə'ʃuə/	vt.使确信,使放心(of);向…保证
astonish	/ə'stɔniʃ/	vt.使惊讶,使吃惊
astronaut	/'æstrənɔ:t/	n.太空人,太空旅行者
astronomy	/ə'strɔnəmi/	n．天文学
at	/强æt,弱ət/	prep./表示价格、速度等/以,达;在..方面
athlete	/'æθli:t/	n.运动员,体育家,身强力壮的人
atmosphere	/'ætmə,sfiə/	n.大气(层);空气;气氛,环境;大气压
atom	/'ætəm/	n.原子;微粒,微量
attach	/ə'tætʃ/	v.系,贴,装,连接;使成为一部分;使依恋
attack	/ə'tæk/	v./n.攻击,抨击;着手,开始n.(病)发作
attain	/ə'tein/	vt.达到;完成;获得vi.达到
attempt	/ə'tempt/	vt.企图,试图n.努力,尝试,企图
attend	/ə'tend/	vt.出席,参加;照顾,护理vi.注意;侍奉
attendance	/ə'tendəns/	n.出席;出席人数;护理,照料
attendant	/ə'tendənt/	n.陪从;出席人;服务员a.出席的;伴随的
attention	/ə'tenʃən/	n.注意,注意力;立正;特别照顾;照料
attitude	/'ætitju:d,-tu:d/	n.态度,看法(to,toward,about);姿势
attorney	/ə'tə:ni/	n.(业务或法律事务上的)代理人;辩护律师
attract	/ə'trækt/	vt.引起的注意(或兴趣等),吸引;引起;激起
attractive	/ə'træktiv/	a.吸引人的,引人注意的;漂亮的,迷人的
attribute	/ə'tribju:t,'ætribju:t/	v.(to)归因于,归属于n.属性,品质,特征
auction	/'ɔ:kʃən/	n.／vt.拍卖
audience	/'ɔ:diəns/	n.听众,观众,读者;见面,会见
audio	/'ɔ:diəu/	n./a.音频(响)(的);声音(的),听觉(的)
audit	/'ɔ:dit/	v.审计;查帐;核对;旁听
auditorium	/,ɔ:di'tɔ:riəm/	n.观众席,听众席;会堂,礼堂
augment	/ɔ:ɡ'ment,'ɔ:gmənt/	vt.(使)增大,增加,增长,扩张
August	/ɔ:'ɡʌst/	n.8月
aunt	/ɑ:nt,ænt/	n.姨母,姑母,伯母,婶母,舅母,阿姨
aural	/'ɔ:rəl/	a.听觉的,听力的
authentic	/ɔ:'θentik/	a.真的,真正的;可靠的,可信的,有根据的
author	/'ɔ:θə/	n.作者,作家,著作人;创始人,发起人
authority	/ɔ:'θɔrəti/	n.权力,权威;权威人士;(pl.)官方,当局
auto	/'ɔ:təu/	n.(automobile)(口语)汽车
automatic	/,ɔ:tə'mætik/	a.自动(装置)的;无意识的;n.自动机械
automation	/,ɔ:tə'meiʃən/	n.自动,自动化,自动操作
autonomy	/ɔ:'tɔnəmi/	n.自治,自治权;
autumn	/'ɔ:təm/	n.秋,秋季;成熟期,渐衰期
auxiliary	/ɔ:ɡ'ziljəri/	a.辅助的,支援的n.辅助者,辅助设备
avail	/ə'veil/	n./一般用于否定句或疑问句中/效用,利益
available	/ə'veiləbl/	a.(用于物)可利用的;可见到的,接受采访的
avenue	/'ævənju:/	n.林荫路,大街;(比喻)途径,渠道,方法
average	/'ævəridʒ/	n.平均,平均数a.平均的;普通的v.平均
avert	/ə'və:t/	v.防止,避免;转移(目光、注意力等)
aviation	/,eivi'eiʃən/	n.航空,航空学;飞机制造业
avoid	/ə'vɔid/	vt.防止,避免;逃避,避开
await	/ə'weit/	vt.等候,期待;(事情等)降临于
awake	/ə'weik/	a.醒着的vt.唤醒,使觉醒vi.醒来,醒悟到
award	/ə'wɔ:d/	vt.授予,给予;判定n.奖,奖金;仲裁
aware	/ə'wεə/	a.知道的,意识到的;
away	/ə'wei/	ad.在远处;离开;渐渐远去;一直;去掉
awe	/ɔ:/	n.敬畏,惊惧vt.使敬畏,使惊惧
awful	/'ɔ:ful/	a.极度的,极坏的;威严的,可怕的
awkward	/'ɔ:kwəd/	a.笨拙的;尴尬的;使用不便的;难处理的
axe	/æks/	n.（ax）斧子;削减vt.用斧砍
axis	/'æksis/	n.轴,轴线,中心线;坐标轴,基准线
baby	/'beibi/	n.婴儿;年龄最小的人;小动物a.婴儿似的
bachelor	/'bætʃələ/	n.单身汉;(亦作B-)学士(学位)
back	/bæk/	a.后面的ad.向后v.倒退;支持n.背;后面
background	/'bækɡraund/	n.背景,经历;幕后
backward	/'bækwəd/	a.向后的,倒行的;迟钝的ad.向后,朝反方向
bacon	/'beikən/	n.咸猪肉,熏猪肉
bacterium	/bæk'tiəriəm/	n.(pl.)bacteria细菌
bad	/bæd/	a.坏的;低劣的;不舒服的;腐败的;严重的
badge	/'bædʒ/	n.徽章,像章;标记;象征;记号
badly	/'bædli/	ad.非常,严重地;坏地,差地,拙劣地
badminton	/'bædmintən/	n.羽毛球
bag	/bæɡ/	n.袋,提包v.把…装入袋中;猎杀;占有
baggage	/'bæɡidʒ/	n.行李
bait	/beit/	n.饵,引诱物vt.用饵引诱;折磨,奚落
bake	/beik/	v.烤,烘,焙;烧硬,焙干
balance	/'bæləns/	v.称,(使)平衡n.天平;平衡,均衡;差额,余款
balcony	/'bælkəni/	n.阳台;(电影院等的)楼厅,楼座
bald	/bɔ:ld/	a.秃的,秃头的
ball	/bɔ:l/	n.球(状物);(正式的)舞会vt.把…捏成球状
ballet	/'bælei,bæ'lei/	n.芭蕾舞,芭蕾舞剧;芭蕾舞团
balloon	/bə'lu:n/	n.气球,飞船;a.气球状的v.乘坐气球;膨胀
ballot	/'bælət/	n.(不记名)投票;投票总数;投票权vi.投票
ban	/bæn/	v.取缔,查禁;(from)禁止n.禁止,禁令
banana	/bə'nɑ:nə,-'næ-/	n.香蕉
band	/bænd/	n.条,带;乐队;波段;一群,一伙v.缚,绑扎
